customer_type,year,month,bookings,stays,cancellations,total_nights_stayed,total_weekend_nights_stayed,total_week_nights_stayed,average_lead_time,average_booking_changes,no_deposit,non_refund,refundable,bb,hb,fb,no_meal,parking_required,special_requests,check_out,cancelled,no_show,adr,online,offline,groups_ms,direct_ms,corporate_ms,ta_to,direct_dc,corporate_dc,gds,repeated_guests,previous_cancellations,previous_bookings,city,resort,adults,children,babies,guests
Contract,2017,May,145,137,8,1226,352,874,184.48275862068965,0.23448275862068965,144,0,1,98,44,0,3,2,77,137,8,0,61.76018760195764,0,145,0,0,0,144,1,0,0,5,0,6,3,142,275,5.0,6,286.0
Transient-Party,2017,August,582,527,55,1957,558,1399,225.3109965635739,0.788659793814433,582,0,0,327,227,5,23,17,512,527,47,8,143.735922330097,161,221,144,56,0,523,58,1,0,3,0,9,446,136,1029,44.0,9,1082.0
Group,2017,April,19,18,1,47,15,32,47.10526315789474,0.5263157894736842,19,0,0,16,1,0,2,1,24,18,1,0,62.07851063829787,8,4,1,2,2,14,3,2,0,9,0,36,9,10,29,0.0,0,29.0
Transient-Party,2015,August,1476,634,842,4191,1192,2999,141.4878048780488,0.11720867208672087,1169,307,0,975,497,4,0,15,308,634,841,1,82.68273920305421,87,444,859,47,37,1374,48,50,0,62,526,5,1373,103,2827,22.0,7,2847.0
Transient,2016,July,3809,2414,1395,15265,4313,10952,113.60593331583092,0.19663953793646627,3535,274,0,3031,315,27,436,336,2557,2414,1364,31,131.44305207992142,2461,546,207,466,106,3211,485,108,5,76,50,604,2554,1255,7676,838.0,52,8566.0
Transient,2016,November,4001,2505,1496,12981,3327,9654,93.44363909022745,0.18970257435641089,3331,670,0,3223,242,1,535,244,2831,2505,1459,37,82.16010168708081,2179,731,481,357,207,3271,401,307,22,186,60,771,2848,1153,7065,194.0,24,7283.0
Transient,2015,November,1232,990,242,3629,907,2722,33.496753246753244,0.20292207792207792,1145,87,0,1108,107,4,13,142,617,990,220,22,59.76548360429865,432,305,53,235,178,792,265,175,0,76,106,186,526,706,2069,48.0,16,2133.0
Contract,2015,September,728,497,231,3192,843,2349,123.85714285714286,0.08104395604395605,568,160,0,607,75,1,45,12,621,497,227,4,87.36229949874688,333,234,160,1,0,726,2,0,0,2,170,0,526,202,1373,53.0,1,1427.0
Contract,2016,May,119,109,10,871,247,624,150.78991596638656,0.20168067226890757,119,0,0,88,30,0,1,2,56,109,9,1,59.05929965556833,20,99,0,0,0,119,0,0,0,0,3,0,21,98,227,2.0,1,230.0
Transient-Party,2016,May,1530,1180,350,4370,1016,3354,159.2686274509804,0.373202614379085,1497,13,20,1187,317,1,25,74,436,1180,332,18,86.39983066361563,199,311,823,65,125,1292,151,87,0,25,28,197,958,572,2690,38.0,4,2732.0
Transient,2016,June,3945,2099,1846,13640,3438,10202,109.06413181242078,0.15107731305449937,2973,972,0,3254,261,21,409,288,2001,2099,1799,47,109.98676466275678,2060,1009,367,359,121,3417,380,140,8,101,135,669,2846,1099,7282,388.0,36,7706.0
Contract,2017,April,116,109,7,805,228,577,96.07758620689656,0.22413793103448276,116,0,0,59,53,1,3,4,47,109,7,0,66.0588447204969,0,86,30,0,0,116,0,0,0,1,0,1,4,112,223,2.0,0,225.0
Transient,2016,September,4084,2273,1811,13588,3903,9685,126.4951028403526,0.19123408423114593,3338,746,0,3326,269,8,481,293,2845,2273,1784,27,119.17699072711221,2353,695,463,413,119,3487,441,149,7,103,115,688,2985,1099,7825,399.0,53,8277.0
Transient,2015,October,2354,1386,968,7365,2235,5130,76.74426508071367,0.11342395921835174,1660,694,0,2012,252,57,33,191,1061,1386,950,18,75.12080515953834,737,539,563,331,153,1686,499,169,0,96,1092,122,1268,1086,4153,122.0,14,4289.0
